model_name,version,cmd_num,run_cmd,actual_run,reuse,time
addr,v1,1,1,1,0,4566
addr,v2,1,1,1,0,4423
addr,v3,1,1,1,0,726
addr,v4,1,1,1,0,4145
addr,v5,1,1,1,0,106
addr,v2_v5,4,4,4,0,9400
addr,v1_v5,5,5,5,0,13966
addressBook,v1,2,2,2,0,14868
addressBook,v2,2,2,2,0,11705
addressBook,v3,2,2,2,0,33104
addressBook,v4,2,2,2,0,60070
addressBook,v5,2,2,2,0,60044
addressBook,v2_v5,8,8,8,0,164923
addressBook,v1_v5,10,10,10,0,179791
arr,v1,1,1,1,0,5906
arr,v2,1,1,1,0,3592
arr,v3,1,1,1,0,2736
arr,v4,1,1,1,0,2519
arr,v5,1,1,1,0,2460
arr,v2_v5,4,4,4,0,11307
arr,v1_v5,5,5,5,0,17213
balancedBST,v1,4,4,4,0,4321
balancedBST,v2,4,4,4,0,1970
balancedBST,v3,4,4,4,0,1475
balancedBST,v4,4,4,4,0,1655
balancedBST,v5,4,4,4,0,1733
balancedBST,v2_v5,16,16,16,0,6833
balancedBST,v1_v5,20,20,20,0,11154
bempl,v1,2,2,2,0,17665
bempl,v2,2,2,2,0,8576
bempl,v3,2,2,2,0,8660
bempl,v4,2,2,2,0,8910
bempl,v5,2,2,2,0,12840
bempl,v2_v5,8,8,8,0,38986
bempl,v1_v5,10,10,10,0,56651
binaryTree,v1,1,1,1,0,15256
binaryTree,v2,1,1,1,0,10975
binaryTree,v3,1,1,1,0,6061
binaryTree,v4,1,1,1,0,6418
binaryTree,v5,1,1,1,0,7424
binaryTree,v2_v5,4,4,4,0,30878
binaryTree,v1_v5,5,5,5,0,46134
cd,v1,4,4,4,0,57127
cd,v2,4,4,4,0,52654
cd,v3,4,4,4,0,53796
cd,v4,4,4,4,0,27663
cd,v5,4,4,4,0,15268
cd,v2_v5,16,16,16,0,149381
cd,v1_v5,20,20,20,0,206508
ceilingsAndFloors,v1,6,6,6,0,58922
ceilingsAndFloors,v2,6,6,6,0,15006
ceilingsAndFloors,v3,6,6,6,0,3088
ceilingsAndFloors,v4,6,6,6,0,3135
ceilingsAndFloors,v5,6,6,6,0,3190
ceilingsAndFloors,v2_v5,24,24,24,0,24419
